status,solver,conflicts,decisions,propagations,restarts,prop_per_conflict,decisions_per_conflict,restarts_per_conflict
SAT,cadical,364652.5,1359467.0,38308874.0,7798.0,217.699779100641,6.333179201457478,0.03310063161893907
SAT,glucose,599791.0,2407991.0,338164325.5,3602.0,446.4947726637013,13.602379817123238,0.004313845738658234
SAT,maplesat,231374.0,1084399.5,68183412.5,542.5,400.7086129044776,7.243682795698925,0.002406475786138715
UNSAT,cadical,216509.0,1949325.0,61718583.5,8302.0,82.40533568026228,2.6067108141180593,0.02946500770021577
UNSAT,glucose,244371.5,771190.5,91921991.0,977.0,533.4368985189881,3.649120723354213,0.0035678070530967888
UNSAT,maplesat,29383.0,1457737.5,125957702.0,105.5,532.9039462853584,2.6828270243208356,0.0027272024751837497
