solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward,category,decisions_per_conflict,conflicts_per_decision,decisions_per_second,restarts_per_conflict,conflicts_per_restart,restarts_per_second,learned_per_conflict,removed_per_conflict,reduced_per_conflict,propagations_per_conflict,propagations_per_decision
glucose,grs-128-32.cnf,benchmarks/grs-128-32.cnf,UNSAT,100.56669282913208,20.0,False,False,1364228.0,3214086.0,656398717.0,1255.0,94810.0,279158.0,99.5917,,,,,,,,,,6659.0,32.0,1171502.0,29.0,1233.0,489.0,30.0,831.0,,,crafted,2.3559742213178443,0.4244528615600205,31959.746408892013,0.0009199342045464541,1087.0342629482072,12.47928081051953,,0.8587288928243666,0.0006091357163172138,481.15030405474744,204.22562339651148
maplesat,grs-128-32.cnf,benchmarks/grs-128-32.cnf,UNSAT,244.8926441669464,20.0,False,False,2204375.0,6338346.0,1417660105.0,4094.0,94810.0,279158.0,242.559,,,,,,,,,,,,,,,,,,73395940.0,0.125311,crafted,2.8753483413666006,0.3477839486831423,25882.141219721852,0.001857215764105472,538.4404005862237,16.717529486957837,,,,643.112040827899,223.66404500480093
cadical,satcoin-genesis-UNSAT-18800.cnf,benchmarks/satcoin-genesis-UNSAT-18800.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
glucose,satcoin-genesis-UNSAT-18800.cnf,benchmarks/satcoin-genesis-UNSAT-18800.cnf,TIMEOUT,300.0,,True,False,,,,,134781.0,648661.0,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
maplesat,satcoin-genesis-UNSAT-18800.cnf,benchmarks/satcoin-genesis-UNSAT-18800.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,5col100_15_6.shuffled.cnf,benchmarks/5col100_15_6.shuffled.cnf,UNSAT,4.5860559940338135,20.0,False,False,141102.0,205734.0,7230397.0,5120.0,,,,138511.0,86133.0,35171.0,11362.0,1202.0,4.46,4.52,67.0,20.0,,,,,,,,,,,random,1.4580516222307267,0.6858467730175858,44860.76931194205,0.03628580743008604,27.558984375,1116.4277118859463,0.9816373970602826,,,51.24234241895933,35.14439518990541
glucose,5col100_15_6.shuffled.cnf,benchmarks/5col100_15_6.shuffled.cnf,UNSAT,47.44646167755127,20.0,False,False,755327.0,855538.0,31324565.0,493.0,300.0,3973.0,46.876,,,,,,,,,,5240.0,23.0,637481.0,17.0,855.0,89.0,15.0,2776.0,,,random,1.1326723392649807,0.8828678562495178,18031.650195841426,0.0006526974409758952,1532.103448275862,10.390658914682717,,0.8439801569386504,0.0036752294039535194,41.471528225523514,36.613879219859314
maplesat,5col100_15_6.shuffled.cnf,benchmarks/5col100_15_6.shuffled.cnf,UNSAT,7.448723316192627,20.0,False,False,300764.0,349129.0,14331593.0,731.0,300.0,3973.0,7.35312,,,,,,,,,,,,,,,,,,5015740.0,0.281014,random,1.1608071444720778,0.8614695427764523,46870.98515809221,0.0024304770517748135,411.4418604651163,98.13762291464016,,,,47.65062640475589,41.049563341916596
cadical,asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,UNSAT,275.9257490634918,20.0,False,False,1686313.0,59093070.0,851345806.0,228878.0,,,,1490945.0,1233424.0,104026.0,190836.0,6010.0,273.2,275.83,156.27,20.0,,,,,,,,,,,industrial,35.04276489595941,0.028536561055298025,214162.94130056852,0.13572687869926875,7.367737397215984,829.4912699406466,0.8841448770186792,,,504.8563380582371,14.406863715153063
glucose,asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,UNSAT,167.98725605010986,20.0,False,False,670499.0,2953112.0,978561118.0,3734.0,127091.0,296682.0,166.383,,,,,,,,,,3963.0,22.0,567243.0,43.0,1550.0,232.0,30.0,182.0,,,industrial,4.4043495963454085,0.22704827991623752,17579.381135430296,0.00556898668006962,179.565881092662,22.22787661277213,,0.8460012617468482,0.00027143962929102055,1459.4520170798166,331.36607009825565
