solver,decisions_per_conflict,conflicts_per_decision,decisions_per_second,restarts_per_conflict,conflicts_per_restart,restarts_per_second,learned_per_conflict,removed_per_conflict,reduced_per_conflict,propagations_per_conflict,propagations_per_decision
cadical,4.498147926872984,0.2223137202815779,55786.90709090425,0.0309683119759844,32.291215966512425,365.3902176270442,0.9524507577321716,,,147.61933853747482,24.430279681793166
glucose,4.840473853137208,0.1984947901873909,34698.46214116432,0.0040318088519471496,246.65148654643306,42.436031199104356,,0.7919260871631706,0.00541077525683065,434.7993665518263,51.78559872235496
maplesat,3.417897353414242,0.2348805124927334,21631.028679432122,0.0024304770517748,402.92904887898624,20.07668515438462,,,,367.67448367285886,74.98631210963833
