solver,conflicts,decisions,propagations,restarts,prop_per_conflict,decisions_per_conflict,restarts_per_conflict
cadical,321903.0,1708153.0,41348421.0,8050.0,147.61933853747482,4.498147926872984,0.030968311975984465
glucose,417065.0,1134918.0,197844092.0,1102.5,446.70341165838227,5.037940154973564,0.004054361695303203
maplesat,125820.0,1361853.5,105110024.0,336.5,454.0099153206499,4.338077201340576,0.002482107828453497
